Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	2.987000	17.333000	32.767000	2.427000	35.728000	51.256000	
1.000000	0.099989	2.546000	31.163000	48.493000	2.158000	49.895000	62.237000	
2.000000	0.099976	2.368000	38.004000	55.110000	2.122000	48.241000	62.196000	
3.000000	0.099957	2.279000	41.230000	58.713000	2.014000	54.226000	68.233000	
4.000000	0.099932	2.206000	45.846000	62.347000	1.928000	60.670000	73.379000	
5.000000	0.099902	2.154000	47.181000	63.762000	1.978000	58.466000	69.449000	
6.000000	0.099867	2.118000	49.777000	65.839000	1.944000	58.499000	70.016000	
7.000000	0.099826	2.094000	50.495000	66.439000	1.876000	61.219000	74.635000	
8.000000	0.099780	2.063000	52.598000	68.017000	1.798000	66.451000	78.566000	
9.000000	0.099729	2.043000	54.035000	68.801000	1.807000	67.056000	77.715000	
10.000000	0.099672	2.029000	55.343000	69.391000	1.975000	57.580000	67.950000	
11.000000	0.099610	2.012000	55.456000	69.982000	1.817000	66.994000	78.323000	
12.000000	0.099542	1.983000	57.384000	71.234000	1.775000	67.323000	77.877000	
13.000000	0.099469	1.971000	58.514000	72.150000	1.908000	63.130000	71.313000	
14.000000	0.099391	1.966000	58.706000	72.425000	1.923000	63.738000	72.893000	
15.000000	0.099307	1.948000	59.679000	73.107000	1.834000	65.753000	76.378000	
16.000000	0.099218	1.941000	59.559000	73.137000	1.754000	69.846000	79.052000	
17.000000	0.099123	1.923000	60.856000	73.779000	1.733000	69.402000	79.498000	
18.000000	0.099023	1.926000	60.790000	73.901000	1.711000	72.215000	81.969000	
19.000000	0.098918	1.911000	61.245000	74.287000	1.712000	72.873000	82.212000	
20.000000	0.098808	1.909000	62.305000	74.420000	1.700000	75.074000	82.658000	
21.000000	0.098692	1.891000	62.807000	75.285000	1.785000	70.591000	77.553000	
22.000000	0.098571	1.899000	62.273000	74.949000	1.775000	70.338000	79.498000	
23.000000	0.098445	1.891000	63.505000	75.458000	1.723000	69.183000	80.592000	
24.000000	0.098313	1.878000	63.911000	75.763000	1.826000	66.798000	74.878000	
25.000000	0.098177	1.875000	64.569000	76.232000	1.782000	69.673000	78.930000	
26.000000	0.098035	1.869000	64.650000	76.313000	1.815000	68.440000	76.499000	
27.000000	0.097887	1.872000	64.366000	76.140000	1.761000	70.955000	79.619000	
28.000000	0.097735	1.864000	64.417000	76.181000	1.849000	65.357000	74.676000	
29.000000	0.097577	1.853000	65.670000	77.066000	1.693000	73.890000	82.577000	
30.000000	0.097415	1.846000	65.568000	77.077000	1.721000	71.849000	81.159000	
31.000000	0.097247	1.843000	65.727000	77.138000	1.755000	71.040000	79.741000	
32.000000	0.097074	1.836000	65.954000	77.280000	1.712000	71.551000	80.389000	
33.000000	0.096895	1.822000	67.687000	78.451000	1.790000	70.534000	77.796000	
34.000000	0.096712	1.824000	67.303000	78.379000	1.800000	62.979000	75.810000	
35.000000	0.096524	1.835000	66.479000	77.728000	1.962000	59.794000	68.922000	
36.000000	0.096331	1.813000	68.464000	79.061000	1.770000	70.940000	78.687000	
37.000000	0.096132	1.812000	68.339000	78.929000	1.667000	76.961000	83.995000	
38.000000	0.095929	1.815000	67.772000	78.776000	1.790000	69.709000	79.741000	
