Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	2.905000	19.866000	35.688000	2.363000	37.315000	52.634000	
1.000000	0.099989	2.475000	33.642000	51.191000	2.119000	55.450000	65.194000	
2.000000	0.099976	2.290000	41.553000	58.510000	1.989000	55.727000	69.733000	
3.000000	0.099957	2.171000	46.530000	63.477000	1.953000	60.031000	71.191000	
4.000000	0.099932	2.100000	50.972000	66.765000	1.811000	66.258000	78.404000	
5.000000	0.099902	2.036000	53.998000	68.984000	1.889000	65.976000	74.473000	
6.000000	0.099867	1.984000	58.534000	72.170000	1.779000	70.208000	79.417000	
7.000000	0.099826	1.953000	59.827000	73.280000	1.854000	66.862000	75.729000	
8.000000	0.099780	1.919000	61.554000	74.369000	1.744000	69.384000	79.295000	
9.000000	0.099729	1.904000	63.383000	75.662000	1.738000	69.012000	79.457000	
10.000000	0.099672	1.872000	64.465000	76.425000	1.782000	68.854000	78.890000	
11.000000	0.099610	1.860000	65.019000	76.985000	1.727000	72.075000	80.592000	
12.000000	0.099542	1.840000	66.546000	77.921000	1.719000	73.308000	81.159000	
13.000000	0.099469	1.823000	66.309000	77.942000	1.660000	77.988000	84.117000	
14.000000	0.099391	1.817000	68.034000	78.939000	1.695000	74.314000	82.212000	
15.000000	0.099307	1.813000	68.082000	79.123000	1.641000	79.578000	85.900000	
16.000000	0.099218	1.802000	68.960000	79.489000	1.607000	78.594000	86.588000	
17.000000	0.099123	1.782000	70.479000	80.466000	1.681000	75.283000	83.023000	
18.000000	0.099023	1.780000	70.346000	80.609000	1.640000	77.203000	85.251000	
19.000000	0.098918	1.774000	70.553000	80.476000	1.622000	77.128000	85.170000	
20.000000	0.098808	1.755000	72.452000	81.973000	1.622000	78.092000	84.724000	
21.000000	0.098692	1.753000	72.501000	82.075000	1.656000	77.884000	83.347000	
22.000000	0.098571	1.746000	72.756000	82.105000	1.607000	77.895000	85.413000	
23.000000	0.098445	1.739000	73.417000	82.237000	1.665000	79.023000	83.874000	
24.000000	0.098313	1.733000	73.342000	82.380000	1.624000	78.443000	85.454000	
25.000000	0.098177	1.734000	73.859000	82.645000	1.607000	80.445000	86.507000	
26.000000	0.098035	1.729000	74.648000	83.367000	1.669000	75.641000	84.765000	
27.000000	0.097887	1.722000	74.663000	83.296000	1.642000	80.567000	84.684000	
28.000000	0.097735	1.715000	75.305000	83.550000	1.623000	78.669000	84.360000	
29.000000	0.097577	1.719000	74.925000	83.408000	1.611000	78.336000	85.697000	
30.000000	0.097415	1.707000	74.970000	83.510000	1.610000	80.518000	85.616000	
31.000000	0.097247	1.713000	74.901000	83.265000	1.579000	80.563000	87.358000	
32.000000	0.097074	1.700000	75.553000	83.998000	1.597000	80.691000	86.467000	
33.000000	0.096895	1.696000	75.208000	83.907000	1.593000	80.681000	87.196000	
34.000000	0.096712	1.694000	75.947000	84.314000	1.609000	80.982000	86.386000	
35.000000	0.096524	1.695000	76.098000	84.202000	1.642000	79.732000	84.036000	
36.000000	0.096331	1.689000	76.740000	84.528000	1.566000	82.578000	88.533000	
37.000000	0.096132	1.682000	76.927000	84.762000	1.607000	78.189000	85.373000	
38.000000	0.095929	1.684000	76.974000	84.741000	1.596000	80.264000	85.900000	
39.000000	0.095721	1.683000	76.676000	84.680000	1.578000	82.423000	87.034000	
40.000000	0.095507	1.681000	76.394000	84.609000	1.591000	79.087000	86.386000	
41.000000	0.095289	1.678000	76.821000	84.670000	1.680000	75.792000	82.212000	
42.000000	0.095066	1.678000	76.556000	84.721000	1.562000	81.611000	87.277000	
43.000000	0.094838	1.671000	78.020000	85.485000	1.619000	82.532000	85.494000	
44.000000	0.094605	1.669000	77.664000	85.474000	1.554000	82.860000	87.966000	
45.000000	0.094367	1.656000	78.446000	85.851000	1.550000	81.530000	88.047000	
46.000000	0.094125	1.647000	79.554000	86.340000	1.578000	81.136000	86.669000	
47.000000	0.093877	1.659000	78.353000	85.658000	1.616000	79.051000	85.778000	
48.000000	0.093625	1.663000	77.809000	85.423000	1.627000	80.144000	85.211000	
49.000000	0.093368	1.645000	78.695000	86.105000	1.568000	80.210000	87.196000	
50.000000	0.093107	1.661000	77.832000	85.464000	1.598000	82.037000	84.684000	
51.000000	0.092841	1.652000	78.675000	85.932000	1.569000	81.921000	87.277000	
52.000000	0.092570	1.647000	79.495000	86.085000	1.574000	80.935000	87.196000	
53.000000	0.092294	1.646000	79.357000	86.492000	1.575000	79.269000	86.467000	
54.000000	0.092014	1.642000	78.956000	85.973000	1.605000	78.403000	85.697000	
55.000000	0.091730	1.639000	79.218000	86.401000	1.581000	79.580000	86.791000	
56.000000	0.091440	1.639000	79.459000	86.604000	1.568000	80.689000	87.277000	
57.000000	0.091147	1.632000	80.190000	87.144000	1.615000	78.918000	83.995000	
58.000000	0.090849	1.629000	79.903000	86.553000	1.581000	81.510000	86.588000	
59.000000	0.090546	1.627000	80.615000	87.327000	1.567000	81.534000	87.723000	
60.000000	0.090239	1.636000	80.180000	86.747000	1.598000	78.817000	85.900000	
61.000000	0.089928	1.626000	79.843000	86.818000	1.560000	81.939000	87.682000	
62.000000	0.089613	1.624000	80.363000	86.981000	1.618000	79.773000	85.818000	
63.000000	0.089293	1.621000	80.455000	87.042000	1.538000	82.463000	88.047000	
64.000000	0.088969	1.623000	80.652000	87.123000	1.630000	80.206000	84.806000	
65.000000	0.088640	1.616000	81.311000	87.643000	1.551000	81.862000	87.277000	
66.000000	0.088308	1.616000	81.080000	87.357000	1.581000	81.121000	87.034000	
67.000000	0.087971	1.612000	81.310000	87.775000	1.560000	83.471000	87.480000	
68.000000	0.087630	1.614000	80.737000	87.235000	1.535000	82.635000	88.736000	
69.000000	0.087286	1.615000	80.616000	87.246000	1.576000	82.797000	86.872000	
70.000000	0.086937	1.608000	81.165000	87.653000	1.543000	83.644000	87.885000	
71.000000	0.086584	1.612000	81.313000	87.520000	1.538000	83.056000	88.128000	
72.000000	0.086227	1.611000	81.304000	87.531000	1.542000	82.246000	88.371000	
73.000000	0.085866	1.610000	80.692000	87.276000	1.519000	84.452000	88.412000	
74.000000	0.085502	1.596000	81.634000	88.233000	1.573000	82.627000	87.237000	
75.000000	0.085133	1.604000	81.604000	87.805000	1.547000	80.787000	87.439000	
76.000000	0.084761	1.599000	81.725000	87.917000	1.614000	77.684000	84.522000	
77.000000	0.084385	1.604000	81.547000	87.704000	1.545000	80.469000	87.723000	
78.000000	0.084005	1.597000	81.845000	87.938000	1.638000	81.776000	85.332000	
79.000000	0.083622	1.601000	82.071000	88.274000	1.585000	80.915000	87.075000	
80.000000	0.083235	1.596000	81.935000	88.284000	1.609000	81.223000	84.765000	
81.000000	0.082844	1.589000	81.897000	88.243000	1.618000	80.880000	84.643000	
82.000000	0.082450	1.588000	82.702000	88.742000	1.569000	81.497000	86.994000	
83.000000	0.082052	1.596000	81.873000	88.050000	1.659000	78.459000	82.374000	
84.000000	0.081651	1.587000	82.502000	88.660000	1.531000	82.098000	87.844000	
85.000000	0.081247	1.587000	82.784000	88.671000	1.562000	82.032000	88.209000	
86.000000	0.080839	1.585000	82.479000	88.477000	1.541000	83.987000	88.290000	
87.000000	0.080428	1.585000	82.785000	88.610000	1.543000	82.399000	87.237000	
88.000000	0.080013	1.586000	82.968000	88.813000	1.591000	80.063000	86.264000	
89.000000	0.079595	1.587000	83.294000	88.721000	1.606000	78.838000	84.481000	
90.000000	0.079174	1.575000	83.416000	89.037000	1.572000	81.130000	87.034000	
91.000000	0.078750	1.575000	82.779000	88.823000	1.516000	85.589000	90.276000	
92.000000	0.078323	1.575000	82.915000	88.721000	1.567000	83.013000	87.480000	
93.000000	0.077893	1.578000	83.594000	88.956000	1.552000	82.696000	87.034000	
94.000000	0.077460	1.568000	83.953000	89.444000	1.589000	78.828000	85.089000	
95.000000	0.077023	1.571000	83.269000	88.935000	1.535000	83.105000	87.885000	
96.000000	0.076584	1.572000	83.510000	88.986000	1.509000	84.376000	89.830000	
97.000000	0.076142	1.564000	83.775000	89.566000	1.527000	82.780000	88.493000	
98.000000	0.075698	1.561000	83.754000	89.383000	1.559000	83.729000	87.601000	
99.000000	0.075250	1.559000	84.662000	89.800000	1.524000	84.888000	88.817000	
