Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.250000	10.946000	23.361000	2.879000	20.320000	32.577000	
1.000000	0.099989	2.431000	35.827000	54.245000	2.180000	52.241000	64.992000	
2.000000	0.099976	2.169000	48.558000	64.658000	2.052000	59.281000	67.788000	
3.000000	0.099957	2.018000	56.737000	71.071000	1.855000	67.481000	76.621000	
4.000000	0.099932	1.918000	62.924000	75.438000	1.722000	76.145000	82.739000	
5.000000	0.099902	1.866000	65.869000	77.321000	1.723000	74.258000	81.159000	
6.000000	0.099867	1.826000	68.729000	79.540000	1.674000	77.115000	83.225000	
7.000000	0.099826	1.802000	69.520000	80.090000	1.626000	78.631000	85.940000	
8.000000	0.099780	1.765000	72.063000	81.779000	1.601000	78.733000	85.940000	
9.000000	0.099729	1.756000	72.999000	82.207000	1.579000	80.088000	88.006000	
10.000000	0.099672	1.734000	73.746000	83.072000	1.579000	81.984000	87.480000	
11.000000	0.099610	1.713000	74.912000	83.836000	1.561000	81.981000	89.060000	
12.000000	0.099542	1.709000	75.747000	84.090000	1.566000	81.085000	88.290000	
13.000000	0.099469	1.692000	76.633000	84.660000	1.566000	81.922000	87.277000	
14.000000	0.099391	1.685000	77.285000	85.200000	1.559000	82.594000	88.250000	
15.000000	0.099307	1.681000	77.877000	85.393000	1.525000	84.437000	89.870000	
16.000000	0.099218	1.674000	77.800000	85.423000	1.554000	82.089000	87.763000	
17.000000	0.099123	1.668000	78.462000	85.871000	1.529000	84.192000	89.951000	
18.000000	0.099023	1.660000	78.999000	85.922000	1.526000	84.888000	89.627000	
19.000000	0.098918	1.658000	78.084000	85.658000	1.543000	83.359000	88.655000	
20.000000	0.098808	1.646000	79.558000	86.716000	1.540000	81.887000	89.222000	
21.000000	0.098692	1.639000	79.620000	86.940000	1.519000	85.267000	89.749000	
22.000000	0.098571	1.636000	80.267000	86.950000	1.533000	85.031000	88.776000	
23.000000	0.098445	1.639000	80.331000	86.991000	1.514000	83.685000	90.194000	
24.000000	0.098313	1.627000	80.467000	87.490000	1.538000	83.847000	88.614000	
25.000000	0.098177	1.628000	80.580000	87.419000	1.527000	84.522000	90.073000	
26.000000	0.098035	1.625000	81.462000	87.704000	1.514000	84.277000	89.830000	
27.000000	0.097887	1.627000	80.742000	87.235000	1.522000	84.878000	89.425000	
28.000000	0.097735	1.627000	80.554000	87.357000	1.538000	81.085000	88.655000	
29.000000	0.097577	1.619000	81.268000	87.704000	1.525000	84.608000	89.465000	
30.000000	0.097415	1.616000	81.527000	87.734000	1.527000	85.171000	88.493000	
31.000000	0.097247	1.612000	81.711000	88.192000	1.529000	84.428000	89.870000	
32.000000	0.097074	1.613000	81.836000	87.826000	1.537000	84.182000	89.384000	
33.000000	0.096895	1.604000	82.370000	88.294000	1.526000	85.119000	88.979000	
34.000000	0.096712	1.606000	82.701000	88.426000	1.490000	86.037000	90.964000	
35.000000	0.096524	1.607000	82.268000	88.365000	1.518000	84.035000	90.235000	
36.000000	0.096331	1.605000	82.277000	88.457000	1.493000	85.367000	90.843000	
37.000000	0.096132	1.607000	82.287000	88.355000	1.518000	86.563000	89.627000	
38.000000	0.095929	1.604000	82.056000	87.846000	1.563000	84.413000	86.345000	
39.000000	0.095721	1.600000	82.313000	88.487000	1.504000	86.377000	90.438000	
40.000000	0.095507	1.598000	83.328000	88.915000	1.540000	85.826000	88.331000	
41.000000	0.095289	1.595000	82.948000	88.864000	1.508000	86.999000	91.329000	
42.000000	0.095066	1.595000	82.973000	88.671000	1.513000	84.848000	89.749000	
43.000000	0.094838	1.593000	82.853000	88.864000	1.501000	85.479000	90.073000	
44.000000	0.094605	1.593000	83.189000	89.108000	1.492000	87.192000	90.681000	
45.000000	0.094367	1.602000	82.580000	88.426000	1.513000	84.787000	90.235000	
46.000000	0.094125	1.592000	82.692000	88.640000	1.491000	85.738000	90.640000	
47.000000	0.093877	1.592000	82.562000	88.548000	1.489000	87.054000	90.721000	
48.000000	0.093625	1.596000	82.981000	88.752000	1.505000	85.972000	90.357000	
49.000000	0.093368	1.595000	83.182000	88.762000	1.508000	82.729000	89.830000	
50.000000	0.093107	1.583000	83.636000	89.200000	1.526000	83.441000	89.019000	
51.000000	0.092841	1.585000	83.176000	88.915000	1.506000	88.006000	90.316000	
52.000000	0.092570	1.584000	83.148000	88.844000	1.523000	86.697000	89.100000	
53.000000	0.092294	1.586000	84.137000	89.393000	1.535000	85.134000	88.614000	
54.000000	0.092014	1.572000	84.606000	89.668000	1.502000	87.488000	90.883000	
55.000000	0.091730	1.580000	83.799000	89.292000	1.513000	86.326000	89.668000	
56.000000	0.091440	1.578000	84.056000	89.485000	1.521000	84.995000	88.776000	
57.000000	0.091147	1.572000	84.258000	89.617000	1.495000	86.380000	91.532000	
58.000000	0.090849	1.572000	83.717000	89.515000	1.493000	85.535000	90.559000	
59.000000	0.090546	1.575000	83.997000	89.495000	1.486000	87.349000	91.370000	
60.000000	0.090239	1.572000	84.012000	89.597000	1.494000	87.029000	90.640000	
61.000000	0.089928	1.570000	84.685000	89.902000	1.510000	84.372000	89.789000	
62.000000	0.089613	1.571000	84.748000	89.770000	1.499000	84.705000	89.546000	
63.000000	0.089293	1.564000	84.439000	89.729000	1.500000	86.823000	90.600000	
64.000000	0.088969	1.570000	84.135000	89.414000	1.514000	86.351000	89.749000	
65.000000	0.088640	1.559000	85.515000	90.177000	1.533000	84.064000	89.019000	
66.000000	0.088308	1.561000	84.791000	90.014000	1.508000	84.718000	89.222000	
67.000000	0.087971	1.561000	84.742000	90.004000	1.490000	87.267000	90.600000	
68.000000	0.087630	1.563000	84.813000	89.851000	1.522000	83.787000	88.857000	
69.000000	0.087286	1.558000	84.791000	89.984000	1.488000	85.812000	90.843000	
70.000000	0.086937	1.558000	85.228000	90.299000	1.488000	87.739000	90.235000	
71.000000	0.086584	1.553000	84.983000	90.269000	1.462000	86.828000	92.261000	
72.000000	0.086227	1.562000	84.680000	90.024000	1.489000	84.391000	90.924000	
73.000000	0.085866	1.553000	85.342000	90.248000	1.502000	86.684000	89.708000	
74.000000	0.085502	1.554000	85.099000	90.289000	1.496000	86.368000	90.073000	
75.000000	0.085133	1.543000	86.197000	90.849000	1.478000	87.893000	91.126000	
76.000000	0.084761	1.555000	85.590000	90.187000	1.500000	87.942000	90.802000	
77.000000	0.084385	1.549000	85.182000	90.187000	1.531000	85.098000	89.019000	
78.000000	0.084005	1.552000	85.719000	90.533000	1.471000	87.184000	91.288000	
